"","date","game_number","session","tank_type","tier","tank","outcome","survived","map","damage_dealt","damage_spotting","damage_blocked","experience_earned","bonds_earned","kills","credits"
"122",2017-11-17,14,11,"Tank Destroyer",8,"Rhm-B WT","win",1,"Murovanka",992,107,0,992,0,1,8896
"123",2017-11-17,15,11,"Medium",8,"T-54 mod.1","lost",0,"Live Oaks",770,0,2140,339,0,0,20038
"124",2017-11-17,16,11,"Tank Destroyer",7,"T25/2","win",0,"Overlord",763,335,240,869,0,0,10762
"125",2017-11-17,17,11,"Heavy",8,"T26E5","win",0,"Airfield",1691,776,680,1323,1,0,58428
"126",2017-11-17,18,11,"Medium",8,"T-54 mod.1","lost",0,"Abbey",1770,873,1490,840,0,1,45926
"127",2017-11-17,19,11,"Medium",8,"T-54 mod.1","win",0,"Tundra",677,100,390,942,0,1,28967
"128",2017-11-17,20,11,"Heavy",8,"T26E5","win",1,"Steppes",1243,955,0,1178,0,2,55325
"129",2017-11-17,21,11,"Medium",8,"T-54 mod.1","lost",0,"Stalingrad",3000,0,2040,953,0,3,62159
"130",2017-11-17,22,11,"Medium",8,"T-54 mod.1","win",1,"Ensk",2913,2050,1690,1905,1,1,98175
"131",2017-11-17,23,11,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Nebelburg",626,436,0,234,0,0,-16666
"132",2017-11-17,24,11,"Medium",8,"T-54 mod.1","win",0,"Kharkov",758,0,400,846,0,0,26120
"133",2017-11-17,25,11,"Heavy",10,"Pz.Kpfw.VII","lost",1,"Sacred Valley",3515,142,2350,569,0,0,15457
"134",2017-11-17,26,11,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Fiery Salient",462,420,3820,317,0,0,-10765
"135",2017-11-17,27,11,"Medium",8,"T-54 mod.1","win",0,"Erlenberg",256,224,720,660,0,0,22013
"136",2017-11-17,28,11,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Redshire",2383,0,3000,348,0,0,-3213
"137",2017-11-17,29,11,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Airfield",1205,219,1380,371,0,0,-13105
"138",2017-11-17,30,11,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Serene Coast",1122,533,3240,1082,7,0,-10176
"139",2017-11-17,31,11,"Medium",8,"T-54 mod.1","win",0,"Kharkov",0,434,1090,761,0,0,13995
"140",2017-11-17,32,11,"Heavy",10,"Pz.Kpfw.VII","win",1,"Highway",3537,2029,5960,1458,4,0,25412
"141",2017-11-17,33,11,"Heavy",10,"Pz.Kpfw.VII","win",0,"Tundra",2808,2630,2170,861,0,1,20085
"142",2017-11-18,1,12,"Heavy",10,"Pz.Kpfw.VII","win",0,"Live Oaks",1710,263,2330,1055,7,0,-1469
"143",2017-11-18,2,12,"Light",9,"AMX 13 90","lost",0,"Paris",260,1685,0,417,0,0,2973
"144",2017-11-18,3,12,"Heavy",10,"Pz.Kpfw.VII","lost",0,"Nebelburg",3379,3058,930,882,5,3,12286
"145",2017-11-18,4,12,"Heavy",10,"Pz.Kpfw.VII","win",1,"Westfield",1707,298,2550,1005,0,0,15712
"146",2017-11-18,5,12,"Heavy",8,"T26E5","lost",0,"Abbey",1270,0,320,557,0,1,31758
"147",2017-11-24,1,13,"Tank Destroyer",8,"WZ-120-1G","lost",1,"Steppes",885,0,1850,375,0,2,27760
"148",2017-11-24,2,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Highway",3019,30,940,555,0,0,53350
"149",2017-11-24,3,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Winterberg",0,0,0,681,0,0,16185
"150",2017-11-24,4,13,"Heavy",10,"Pz.Kpfw.VII","win",1,"Windstorm",3350,1237,1940,1457,10,1,29036
"151",2017-11-24,5,13,"Tank Destroyer",8,"WZ-120-1G","win",1,"Airfield",977,135,539,800,0,0,38247
"152",2017-11-24,6,13,"Medium",7,"T-43","lost",0,"Fiery Salient",165,0,340,77,0,0,-1217
"153",2017-11-24,7,13,"Tank Destroyer",8,"WZ-120-1G","win",1,"El Halluf",2851,568,780,1487,0,2,61138
"154",2017-11-24,8,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Ensk",813,0,0,155,0,0,16973
"155",2017-11-24,9,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Steppes",685,0,0,882,0,1,25783
"156",2017-11-24,10,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Murovanka",2256,212,0,456,0,1,35800
"157",2017-11-24,11,13,"Medium",7,"T-43","lost",0,"Swamp",619,0,0,269,0,1,1530
"158",2017-11-24,12,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Malinovka",1282,41,0,864,0,0,29860
"159",2017-11-24,13,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Overlord",2575,0,0,560,1,1,56590
"160",2017-11-24,14,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Sacred Valley",1240,1240,154,0,0,0,42600
"161",2017-11-24,15,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Mines",1893,0,1210,1323,0,2,66636
"162",2017-11-24,16,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Steppes",1007,0,730,936,0,0,45656
"163",2017-11-24,17,13,"Heavy",8,"T26E5","lost",0,"Erlenberg",772,491,390,387,0,0,31599
"164",2017-11-24,18,13,"Tank Destroyer",8,"WZ-120-1G","win",1,"Murovanka",4116,0,0,1694,0,5,95462
"165",2017-11-24,19,13,"Tank Destroyer",8,"WZ-120-1G","win",1,"Airfield",194,0,0,0,0,0,28160
"166",2017-11-24,20,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Fishermans Bay",1071,426,560,366,0,1,27764
"167",2017-11-24,21,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Tundra",413,261,0,342,0,0,19495
"168",2017-11-24,22,13,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Westfield",0,0,0,278,0,0,8824
"169",2017-11-24,23,13,"Heavy",10,"Pz.Kpfw.VII","win",1,"Kharkov",3133,121,7300,1383,0,1,17666
"170",2017-11-24,24,13,"Tank Destroyer",8,"WZ-120-1G","win",0,"Sacred Valley",477,0,390,792,0,0,32369
"171",2017-11-25,1,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Serene Coast",1063,528,880,497,0,1,24963
"172",2017-11-25,2,14,"Tank Destroyer",8,"Strv S1","win",1,"Ensk",1443,124,0,911,0,1,43744
"173",2017-11-25,3,14,"Tank Destroyer",8,"WZ-120-1G","win",0,"Fjords",1679,929,320,1178,0,0,48288
"174",2017-11-25,4,14,"Tank Destroyer",8,"Strv S1","lost",0,"Prokhorovka",823,0,0,312,0,0,17363
"175",2017-11-25,5,14,"Heavy",10,"Pz.Kpfw.VII","win",1,"Nebelburg",2949,213,6970,1178,10,0,25491
"176",2017-11-25,6,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Malinovka",431,0,0,203,0,0,4332
"177",2017-11-25,7,14,"Medium",8,"T-54 mod.1","win",1,"Fishermans Bay",2307,1020,780,1653,1,2,71865
"178",2017-11-25,8,14,"Tank Destroyer",8,"Strv S1","lost",0,"Westfield",1921,315,230,537,0,0,37597
"179",2017-11-25,9,14,"Medium",7,"T-43","win",0,"Ensk",551,0,0,731,0,0,8870
"180",2017-11-25,10,14,"Heavy",8,"T26E5","win",0,"Murovanka",244,605,470,338,0,0,27461
"181",2017-11-25,11,14,"Tank Destroyer",8,"WZ-120-1G","win",0,"Steppes",1574,671,490,1166,0,1,50635
"182",2017-11-25,12,14,"Tank Destroyer",8,"Strv S1","lost",0,"El Halluf",2616,78,0,726,0,2,41481
"183",2017-11-25,13,14,"Tank Destroyer",10,"Jp Pz E100","win",1,"Malinovka",2654,2454,550,1055,0,1,28288
"184",2017-11-25,14,14,"Tank Destroyer",8,"Strv S1","win",1,"Redshire",1489,512,0,1007,0,2,43982
"185",2017-11-25,15,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Siegfried Line",876,1215,790,242,0,0,30059
"186",2017-11-25,16,14,"Medium",6,"Strv 74","win",1,"Arctic Region",1098,141,0,1076,0,6,23186
"187",2017-11-25,17,14,"Medium",6,"Strv 74","win",0,"Lakeville",585,0,250,615,0,0,12220
"188",2017-11-25,18,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Winterberg",0,0,0,105,0,0,3250
"189",2017-11-25,19,14,"Heavy",8,"T26E5","lost",0,"Ensk",891,324,0,588,0,1,27243
"190",2017-11-25,20,14,"Medium",8,"T-54 mod.1","win",0,"Malinovka",786,390,0,1122,0,0,29109
"191",2017-11-25,21,14,"Medium",8,"T-54 mod.1","win",1,"Redshire",970,972,0,965,0,0,47283
"192",2017-11-25,22,14,"Tank Destroyer",8,"Strv S1","lost",0,"Fjords",355,0,0,150,0,0,13016
"193",2017-11-25,23,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Prokhorovka",680,3100,272,1240,0,2,55327
"194",2017-11-25,24,14,"Tank Destroyer",8,"WZ-120-1G","lost",0,"Cliff",397,0,0,231,0,0,3633
"195",2017-11-25,25,14,"Tank Destroyer",8,"Strv S1","lost",0,"Abbey",2953,0,240,717,0,2,68757
"196",2017-11-25,26,14,"Medium",8,"T-54 mod.1","win",1,"Kharkov",2058,34,1280,1511,0,3,60603
"197",2017-12-10,1,15,"Tank Destroyer",8,"Strv S1","win",0,"Highway",396,0,0,617,0,0,26144
"198",2017-12-10,2,15,"Medium",7,"T-43","lost",0,"Westfield",737,1277,135,558,0,1,13717
"199",2017-12-10,3,15,"Medium",7,"T-43","lost",0,"Fishermans Bay",210,383,0,173,0,0,1022
"200",2017-12-10,4,15,"Medium",7,"T-43","win",1,"Winterberg",1992,50,480,1479,1,4,27708
